Date,value
2014-03-19,1.588
2014-03-19,2.703
2014-03-19,3.92
2014-03-19,4.788
2014-03-19,5.172
2014-03-19,5.003
2014-03-19,3.384
2014-03-19,1.498
2014-03-19,0.564
2014-03-19,0.166
2014-03-19,0.053
2014-03-20,0.022
2014-03-20,0.469
2014-03-20,1.402
2014-03-20,2.529
2014-03-20,3.436
2014-03-20,4.059
2014-03-20,4.694
2014-03-20,4.685
2014-03-20,3.922
2014-03-20,2.568
2014-03-20,1.326
2014-03-20,0.516
2014-03-20,0.073
2014-03-21,0.025
2014-03-21,0.51
2014-03-21,1.543
2014-03-21,2.799
2014-03-21,4.12
2014-03-21,5.128
2014-03-21,5.384
2014-03-21,4.771
2014-03-21,4.009
2014-03-21,2.168
2014-03-21,0.708
2014-03-21,0.366
2014-03-21,0.057
2014-03-22,0.027
2014-03-22,0.519
2014-03-22,1.542
2014-03-22,2.695
2014-03-22,3.783
2014-03-22,4.537
2014-03-22,4.949
2014-03-22,4.935
2014-03-22,2.711
2014-03-22,2.685
2014-03-22,1.092
2014-03-22,0.605
2014-03-22,0.182
2014-03-23,0.029
2014-03-23,0.542
2014-03-23,1.63
2014-03-23,2.803
2014-03-23,4.038
2014-03-23,4.996
2014-03-23,5.277
2014-03-23,5.182
2014-03-23,3.708
2014-03-23,1.848
2014-03-23,1.232
2014-03-23,0.529
2014-03-23,0.148
2014-03-24,0.032
2014-03-24,0.57
2014-03-24,1.659
2014-03-24,2.911
2014-03-24,4.149
2014-03-24,4.935
2014-03-24,5.081
2014-03-24,4.806
2014-03-24,4.008
2014-03-24,2.33
2014-03-24,1.185
2014-03-24,0.412
2014-03-24,0.058
2014-03-25,0.033
2014-03-25,0.517
2014-03-25,1.459
2014-03-25,2.396
2014-03-25,3.64
2014-03-25,4.665
2014-03-25,5.089
2014-03-25,3.188
2014-03-25,1.61
2014-03-25,1.937
2014-03-25,0.319
2014-03-25,0.234
2014-03-25,0.1
2014-03-26,0.038
2014-03-26,0.552
2014-03-26,1.567
2014-03-26,2.833
2014-03-26,3.656
2014-03-26,3.84
2014-03-26,4.001
2014-03-26,4.472
2014-03-26,2.58
2014-03-26,2.092
2014-03-26,1.827
2014-03-26,1.011
2014-03-26,0.235
2014-03-27,0.041
2014-03-27,0.622
2014-03-27,1.726
2014-03-27,2.885
2014-03-27,3.947
2014-03-27,4.908
2014-03-27,5.161
2014-03-27,4.92
2014-03-27,2.381
2014-03-27,1.403
2014-03-27,1.278
2014-03-27,1.017
2014-03-27,0.21
2014-03-28,0.043
2014-03-28,0.624
2014-03-28,1.753
2014-03-28,2.838
2014-03-28,3.978
2014-03-28,4.623
2014-03-28,5.104
2014-03-28,5.166
2014-03-28,4.212
2014-03-28,3.297
2014-03-28,2.069
2014-03-28,0.604
2014-03-28,0.155
2014-03-29,0.042
2014-03-29,0.574
2014-03-29,1.535
2014-03-29,2.591
2014-03-29,3.503
2014-03-29,4.813
2014-03-29,5.201
2014-03-29,4.393
2014-03-29,3.103
2014-03-29,0.911
2014-03-29,0.18
2014-03-29,0.672
2014-03-29,0.208
2014-03-30,0.023
2014-03-30,0.592
2014-03-30,1.659
2014-03-30,2.824
2014-03-30,4.095
2014-03-30,4.801
2014-03-30,5.126
2014-03-30,4.499
2014-03-30,0.412
2014-03-30,0.317
2014-03-30,0.328
2014-03-30,0.255
2014-03-31,0.049
2014-03-31,0.61
2014-03-31,1.631
2014-03-31,2.652
2014-03-31,3.938
2014-03-31,4.759
2014-03-31,4.99
2014-03-31,3.856
2014-03-31,3.404
2014-03-31,2.72
2014-03-31,2.013
2014-03-31,0.858
2014-03-31,0.164
2014-04-01,0.054
2014-04-01,0.616
2014-04-01,1.607
2014-04-01,2.481
2014-04-01,3.921
2014-04-01,4.899
2014-04-01,4.987
2014-04-01,3.959
2014-04-01,3.334
2014-04-01,2.551
2014-04-01,0.218
2014-04-01,0.029
2014-04-02,0.055
2014-04-02,0.622
2014-04-02,1.695
2014-04-02,2.734
2014-04-02,3.21
2014-04-02,4.026
2014-04-02,4.846
2014-04-02,4.023
2014-04-02,2.938
2014-04-02,2.118
2014-04-02,0.775
2014-04-02,0.33
2014-04-02,0.122
2014-04-03,0.056
2014-04-03,0.568
2014-04-03,1.444
2014-04-03,2.505
2014-04-03,3.255
2014-04-03,4.425
2014-04-03,4.671
2014-04-03,3.625
2014-04-03,4.05
2014-04-03,2.258
2014-04-03,0.784
2014-04-03,0.334
2014-04-03,0.135
2014-04-04,0.055
2014-04-04,0.602
2014-04-04,1.608
2014-04-04,2.861
2014-04-04,3.86
2014-04-04,4.393
2014-04-04,4.914
2014-04-04,4.756
2014-04-04,4.08
2014-04-04,3.118
2014-04-04,1.906
2014-04-04,0.652
2014-04-04,0.168
2014-04-05,0.061
2014-04-05,0.673
2014-04-05,1.776
2014-04-05,3.006
2014-04-05,4.09
2014-04-05,4.725
2014-04-05,5.205
2014-04-05,4.46
2014-04-05,3.519
2014-04-05,2.725
2014-04-05,1.207
2014-04-05,0.488
2014-04-05,0.188
2014-04-06,0.069
2014-04-06,0.729
2014-04-06,1.944
2014-04-06,3.203
2014-04-06,4.374
2014-04-06,5.209
2014-04-06,5.386
2014-04-06,5.094
2014-04-06,4.295
2014-04-06,3.35
2014-04-06,2.192
2014-04-06,1.064
2014-04-06,0.242
2014-04-07,0.075
2014-04-07,0.678
2014-04-07,1.857
2014-04-07,3.021
2014-04-07,4.279
2014-04-07,4.801
2014-04-07,5.098
2014-04-07,3.992
2014-04-07,2.6
2014-04-07,3.37
2014-04-07,2.239
2014-04-07,0.946
2014-04-07,0.218
2014-04-08,0.074
2014-04-08,0.503
2014-04-08,1.499
2014-04-08,1.154
2014-04-08,2.463
2014-04-08,3.738
2014-04-08,4.307
2014-04-08,3.678
2014-04-08,2.431
2014-04-08,2.068
2014-04-08,1.786
2014-04-08,0.732
2014-04-08,0.228
2014-04-09,0.074
2014-04-09,0.695
2014-04-09,1.832
2014-04-09,3.138
2014-04-09,4.268
2014-04-09,4.998
2014-04-09,5.293
2014-04-09,5.207
2014-04-09,4.628
2014-04-09,3.476
2014-04-09,1.806
2014-04-09,0.704
2014-04-09,0.166
2014-04-10,0.08
2014-04-10,0.772
2014-04-10,1.71
2014-04-10,2.834
2014-04-10,4.103
2014-04-10,5.014
2014-04-10,5.04
2014-04-10,5.506
2014-04-10,4.765
2014-04-10,3.595
2014-04-10,1.8
2014-04-10,1.032
2014-04-10,0.145
2014-04-11,0.103
2014-04-11,0.771
2014-04-11,1.841
2014-04-11,3.017
2014-04-11,4.133
2014-04-11,4.611
2014-04-11,4.5
2014-04-11,5.328
2014-04-11,4.645
2014-04-11,2.9
2014-04-11,1.706
2014-04-11,1.122
2014-04-11,0.217
2014-04-12,0.101
2014-04-12,0.74
2014-04-12,1.718
2014-04-12,2.891
2014-04-12,4.106
2014-04-12,5.083
2014-04-12,5.608
2014-04-12,5.41
2014-04-12,4.065
2014-04-12,3.306
2014-04-12,2.227
2014-04-12,1.017
2014-04-12,0.205
2014-04-13,0.107
2014-04-13,0.755
2014-04-13,1.854
2014-04-13,2.927
2014-04-13,4.367
2014-04-13,5.228
2014-04-13,5.352
2014-04-13,5.2
2014-04-13,4.34
2014-04-13,3.651
2014-04-13,1.894
2014-04-13,0.515
2014-04-13,0.083
