ID,FECHA,TMP_(°C)
477,20/01/2023,16.4
478,20/01/2023,15.6
479,20/01/2023,14.2
480,20/01/2023,11.4
481,21/01/2023,12.9
482,21/01/2023,12.1
483,21/01/2023,10.1
484,21/01/2023,8.2
485,21/01/2023,7.1
486,21/01/2023,6.2
487,21/01/2023,5.7
488,21/01/2023,5.3
489,21/01/2023,7.9
490,21/01/2023,12.7
491,21/01/2023,17.3
492,21/01/2023,20.5
493,21/01/2023,22
494,21/01/2023,22.8
495,21/01/2023,22.6
496,21/01/2023,22.4
497,21/01/2023,21.6
498,21/01/2023,19.7
499,21/01/2023,17.5
500,21/01/2023,16.3
501,21/01/2023,15.6
502,21/01/2023,15.3
503,21/01/2023,15.3
504,21/01/2023,14.6
505,22/01/2023,13.7
506,22/01/2023,12.7
507,22/01/2023,11.3
508,22/01/2023,9
509,22/01/2023,9.3
510,22/01/2023,7.5
511,22/01/2023,6.2
512,22/01/2023,5.6
513,22/01/2023,9
514,22/01/2023,13.6
515,22/01/2023,16
516,22/01/2023,18.7
517,22/01/2023,20.4
518,22/01/2023,22.4
519,22/01/2023,23.5
520,22/01/2023,23
521,22/01/2023,21.7
522,22/01/2023,19.8
523,22/01/2023,17.6
524,22/01/2023,16.3
525,22/01/2023,15.7
526,22/01/2023,15.1
527,22/01/2023,14.5
528,22/01/2023,13.8
529,23/01/2023,13.4
530,23/01/2023,12.7
531,23/01/2023,11.8
532,23/01/2023,11.8
533,23/01/2023,11
534,23/01/2023,7.8
535,23/01/2023,6.5
536,23/01/2023,6.4
537,23/01/2023,9.7
538,23/01/2023,15.3
539,23/01/2023,17.4
540,23/01/2023,19.5
541,23/01/2023,20.8
542,23/01/2023,21.5
543,23/01/2023,21.8
544,23/01/2023,21.2
545,23/01/2023,20.7
546,23/01/2023,19.3
547,23/01/2023,17.2
548,23/01/2023,16.1
549,23/01/2023,15.2
550,23/01/2023,14.8
551,23/01/2023,14.9
552,23/01/2023,14.2
553,24/01/2023,13.7
554,24/01/2023,13.1
555,24/01/2023,12.7
556,24/01/2023,12
557,24/01/2023,11
558,24/01/2023,11.2
559,24/01/2023,10.8
560,24/01/2023,10.7
561,24/01/2023,13.3
562,24/01/2023,16
563,24/01/2023,17.9
564,24/01/2023,19.6
565,24/01/2023,21
566,24/01/2023,22
567,24/01/2023,22.8
568,24/01/2023,22.6
569,24/01/2023,21.6
570,24/01/2023,19.9
571,24/01/2023,18
572,24/01/2023,16.7
573,24/01/2023,15.9
574,24/01/2023,15
575,24/01/2023,14
576,24/01/2023,12.1
577,25/01/2023,10.2
578,25/01/2023,9.1
579,25/01/2023,8.4
580,25/01/2023,6.3
581,25/01/2023,5.5
582,25/01/2023,5
583,25/01/2023,3.9
584,25/01/2023,3.6
585,25/01/2023,7.8
586,25/01/2023,12.2
587,25/01/2023,15.2
588,25/01/2023,18.1
589,25/01/2023,20.5
590,25/01/2023,22.3
591,25/01/2023,23.2
592,25/01/2023,23.8
593,25/01/2023,22.8
594,25/01/2023,20.8
595,25/01/2023,18.4
596,25/01/2023,17
597,25/01/2023,16.3
598,25/01/2023,14.9
599,25/01/2023,12.5
600,25/01/2023,11
601,26/01/2023,9.4
602,26/01/2023,9.1
603,26/01/2023,7.6
604,26/01/2023,6.8
605,26/01/2023,5.8
606,26/01/2023,4.8
607,26/01/2023,4.2
608,26/01/2023,4.2
609,26/01/2023,7.6
610,26/01/2023,11.7
611,26/01/2023,15.6
612,26/01/2023,17.5
613,26/01/2023,18.8
614,26/01/2023,19.9
615,26/01/2023,20.4
616,26/01/2023,20.6
617,26/01/2023,20.3
618,26/01/2023,19
619,26/01/2023,17.2
620,26/01/2023,15.9
621,26/01/2023,14.5
622,26/01/2023,11.6
623,26/01/2023,9.6
624,26/01/2023,8.2
625,27/01/2023,6.8
626,27/01/2023,5.5
627,27/01/2023,5.4
628,27/01/2023,3.8
629,27/01/2023,3.3
630,27/01/2023,2.6
631,27/01/2023,2.5
632,27/01/2023,2.3
633,27/01/2023,5.4
634,27/01/2023,9.5
635,27/01/2023,12.5
636,27/01/2023,16.1
637,27/01/2023,18.7
638,27/01/2023,20.5
639,27/01/2023,21.7
640,27/01/2023,21.9
641,27/01/2023,21.6
642,27/01/2023,19.7
643,27/01/2023,17.5
644,27/01/2023,15.9
645,27/01/2023,14.6
646,27/01/2023,13.8
647,27/01/2023,13.5
648,27/01/2023,13.1
649,28/01/2023,12
650,28/01/2023,9.9
651,28/01/2023,8.2
652,28/01/2023,6.8
653,28/01/2023,5.1
654,28/01/2023,4.6
655,28/01/2023,3.7
656,28/01/2023,3.3
657,28/01/2023,7.3
658,28/01/2023,12.3
659,28/01/2023,15.7
660,28/01/2023,18.4
661,28/01/2023,20.5
662,28/01/2023,22.6
663,28/01/2023,23.8
664,28/01/2023,23.6
665,28/01/2023,23.1
666,28/01/2023,21.5
667,28/01/2023,19.3
668,28/01/2023,17.6
669,28/01/2023,16.2
670,28/01/2023,15.6
671,28/01/2023,14.5
672,28/01/2023,11.4
673,29/01/2023,10
674,29/01/2023,8.9
675,29/01/2023,7.7
676,29/01/2023,6.4
677,29/01/2023,5.4
678,29/01/2023,5.1
679,29/01/2023,4.4
680,29/01/2023,4.3
681,29/01/2023,8.1
682,29/01/2023,13.3
683,29/01/2023,16.7
684,29/01/2023,19.1
685,29/01/2023,21
686,29/01/2023,22.5
687,29/01/2023,23.8
688,29/01/2023,24.1
689,29/01/2023,24.1
690,29/01/2023,23.4
691,29/01/2023,20.7
692,29/01/2023,18.9
693,29/01/2023,17.5
694,29/01/2023,14.7
695,29/01/2023,13.1
696,29/01/2023,11.5
697,30/01/2023,10
698,30/01/2023,9.2
699,30/01/2023,8.7
700,30/01/2023,7.7
701,30/01/2023,7.1
702,30/01/2023,6.1
703,30/01/2023,5.7
704,30/01/2023,5
705,30/01/2023,8.9
706,30/01/2023,13.6
707,30/01/2023,17.1
708,30/01/2023,20.8
709,30/01/2023,22.6
710,30/01/2023,24.1
711,30/01/2023,25.3
712,30/01/2023,25.7
713,30/01/2023,25.8
714,30/01/2023,24.2
715,30/01/2023,20.8
716,30/01/2023,18.8
717,30/01/2023,16.6
718,30/01/2023,15.1
719,30/01/2023,13.5
720,30/01/2023,12
721,31/01/2023,10.9
722,31/01/2023,9
723,31/01/2023,7.7
724,31/01/2023,7.2
725,31/01/2023,6.4
726,31/01/2023,5.7
727,31/01/2023,4.9
728,31/01/2023,4.3
729,31/01/2023,8.8
730,31/01/2023,15.5
731,31/01/2023,18.7
732,31/01/2023,22
733,31/01/2023,24.6
734,31/01/2023,26.6
735,31/01/2023,26.9
736,31/01/2023,25.5
737,31/01/2023,24.9
738,31/01/2023,23
739,31/01/2023,20.8
740,31/01/2023,19.1
741,31/01/2023,17.8
742,31/01/2023,15.6
743,31/01/2023,13.7
744,31/01/2023,12.1
745,01/02/2023,10.4
746,01/02/2023,8.9
747,01/02/2023,7.2
748,01/02/2023,6.3
749,01/02/2023,6
750,01/02/2023,5.7
751,01/02/2023,6
752,01/02/2023,6.5
753,01/02/2023,9.2
754,01/02/2023,13
755,01/02/2023,15.4
756,01/02/2023,18.2
757,01/02/2023,20.5
758,01/02/2023,24.5
759,01/02/2023,26.4
760,01/02/2023,24.6
761,01/02/2023,24
762,01/02/2023,22.2
763,01/02/2023,19.4
764,01/02/2023,17.5
765,01/02/2023,16.3
766,01/02/2023,15.6
767,01/02/2023,15.7
768,01/02/2023,14.7
769,02/02/2023,0
770,02/02/2023,0
771,02/02/2023,0
772,02/02/2023,0
773,02/02/2023,0
774,02/02/2023,0
775,02/02/2023,0
776,02/02/2023,0
777,02/02/2023,0
778,02/02/2023,0
779,02/02/2023,0
780,02/02/2023,0
781,02/02/2023,0
782,02/02/2023,0
783,02/02/2023,0
784,02/02/2023,0
785,02/02/2023,0
786,02/02/2023,0
787,02/02/2023,0
788,02/02/2023,0
789,02/02/2023,0
790,02/02/2023,0
791,02/02/2023,0
792,02/02/2023,0
793,03/02/2023,0
794,03/02/2023,0
795,03/02/2023,0
796,03/02/2023,0
797,03/02/2023,0
798,03/02/2023,0
799,03/02/2023,0
800,03/02/2023,0
801,03/02/2023,0
802,03/02/2023,0
803,03/02/2023,0
804,03/02/2023,0
805,03/02/2023,0
806,03/02/2023,0
807,03/02/2023,0
808,03/02/2023,0
809,03/02/2023,0
810,03/02/2023,0
811,03/02/2023,0
812,03/02/2023,0
813,03/02/2023,0
814,03/02/2023,0
815,03/02/2023,0
816,03/02/2023,0
817,04/02/2023,0
818,04/02/2023,0
819,04/02/2023,0
820,04/02/2023,0
821,04/02/2023,0
822,04/02/2023,0
823,04/02/2023,0
824,04/02/2023,0
825,04/02/2023,0
826,04/02/2023,0
827,04/02/2023,0
828,04/02/2023,0
829,04/02/2023,0
830,04/02/2023,0
831,04/02/2023,0
832,04/02/2023,0
833,04/02/2023,0
834,04/02/2023,0
835,04/02/2023,0
836,04/02/2023,0
837,04/02/2023,0
838,04/02/2023,0
839,04/02/2023,0
840,04/02/2023,0
841,05/02/2023,0
842,05/02/2023,0
843,05/02/2023,0
844,05/02/2023,0
845,05/02/2023,0
846,05/02/2023,0
847,05/02/2023,0
848,05/02/2023,0
849,05/02/2023,0
850,05/02/2023,0
851,05/02/2023,0
852,05/02/2023,0
853,05/02/2023,0
854,05/02/2023,0
855,05/02/2023,0
856,05/02/2023,0
857,05/02/2023,0
858,05/02/2023,0
859,05/02/2023,0
860,05/02/2023,0
861,05/02/2023,0
862,05/02/2023,0
863,05/02/2023,0
864,05/02/2023,0
865,06/02/2023,0
866,06/02/2023,0
867,06/02/2023,0
868,06/02/2023,0
869,06/02/2023,0
870,06/02/2023,0
871,06/02/2023,0
872,06/02/2023,0
873,06/02/2023,0
874,06/02/2023,0
875,06/02/2023,0
876,06/02/2023,0
877,06/02/2023,0
878,06/02/2023,0
879,06/02/2023,0
880,06/02/2023,0
881,06/02/2023,0
882,06/02/2023,0
883,06/02/2023,0
884,06/02/2023,0
885,06/02/2023,0
886,06/02/2023,0
887,06/02/2023,0
888,06/02/2023,0
889,07/02/2023,0
890,07/02/2023,0
891,07/02/2023,0
892,07/02/2023,0
893,07/02/2023,0
894,07/02/2023,0
895,07/02/2023,0
896,07/02/2023,0
897,07/02/2023,0
898,07/02/2023,0
899,07/02/2023,0
900,07/02/2023,0
901,07/02/2023,0
902,07/02/2023,0
903,07/02/2023,0
904,07/02/2023,0
905,07/02/2023,0
906,07/02/2023,0
907,07/02/2023,0
908,07/02/2023,0
909,07/02/2023,0
910,07/02/2023,0
911,07/02/2023,0
912,07/02/2023,0
913,08/02/2023,0
914,08/02/2023,0
915,08/02/2023,0
916,08/02/2023,0
917,08/02/2023,0
918,08/02/2023,0
919,08/02/2023,0
920,08/02/2023,0
921,08/02/2023,0
922,08/02/2023,0
923,08/02/2023,0
924,08/02/2023,0
925,08/02/2023,0
926,08/02/2023,0
927,08/02/2023,0
928,08/02/2023,0
929,08/02/2023,0
930,08/02/2023,0
931,08/02/2023,0
932,08/02/2023,0
933,08/02/2023,0
934,08/02/2023,0
935,08/02/2023,0
936,08/02/2023,0
937,09/02/2023,12.6
938,09/02/2023,11.6
939,09/02/2023,10.7
940,09/02/2023,9.6
941,09/02/2023,8.2
942,09/02/2023,6.9
943,09/02/2023,6
944,09/02/2023,6.2
945,09/02/2023,9.4
946,09/02/2023,12.5
947,09/02/2023,14.8
948,09/02/2023,17.1
949,09/02/2023,19.8
950,09/02/2023,21
951,09/02/2023,21.5
952,09/02/2023,22.2
953,09/02/2023,21.9
954,09/02/2023,20.6
955,09/02/2023,18.8
956,09/02/2023,17.6
957,09/02/2023,16.8
958,09/02/2023,16.4
959,09/02/2023,16.5
960,09/02/2023,15.5
961,10/02/2023,14.2
962,10/02/2023,12.9
963,10/02/2023,11.4
964,10/02/2023,10.2
965,10/02/2023,9.8
966,10/02/2023,9.2
967,10/02/2023,7.9
968,10/02/2023,7.2
969,10/02/2023,10.4
970,10/02/2023,13.9
971,10/02/2023,16.6
972,10/02/2023,18.5
973,10/02/2023,19.5
974,10/02/2023,20.5
975,10/02/2023,21.6
976,10/02/2023,22.4
977,10/02/2023,19.4
978,10/02/2023,18.3
979,10/02/2023,16.5
980,10/02/2023,15.8
981,10/02/2023,15
982,10/02/2023,12.5
983,10/02/2023,11.8
984,10/02/2023,10.2
985,11/02/2023,9.3
986,11/02/2023,8.2
987,11/02/2023,7.7
988,11/02/2023,6.4
989,11/02/2023,7.3
990,11/02/2023,8
991,11/02/2023,7.9
992,11/02/2023,8
993,11/02/2023,8.5
994,11/02/2023,9.6
995,11/02/2023,12
996,11/02/2023,14
997,11/02/2023,16.3
998,11/02/2023,18.4
999,11/02/2023,20
1000,11/02/2023,20.7
1001,11/02/2023,21.3
1002,11/02/2023,21.1
1003,11/02/2023,19.4
1004,11/02/2023,17.6
1005,11/02/2023,16.6
1006,11/02/2023,15.3
1007,11/02/2023,13.5
1008,11/02/2023,11.3
1009,12/02/2023,10.3
1010,12/02/2023,9.6
1011,12/02/2023,7.6
1012,12/02/2023,7.4
1013,12/02/2023,6
1014,12/02/2023,5.4
1015,12/02/2023,4.9
1016,12/02/2023,4.7
1017,12/02/2023,8
1018,12/02/2023,11.4
1019,12/02/2023,14.2
1020,12/02/2023,17.1
1021,12/02/2023,19.3
1022,12/02/2023,21.3
1023,12/02/2023,22.4
1024,12/02/2023,23.3
1025,12/02/2023,23.3
1026,12/02/2023,21.8
1027,12/02/2023,19.5
1028,12/02/2023,18.4
1029,12/02/2023,17.4
1030,12/02/2023,16.6
1031,12/02/2023,15.1
1032,12/02/2023,12.7
1033,13/02/2023,11.8
1034,13/02/2023,10.2
1035,13/02/2023,9.4
1036,13/02/2023,8.5
1037,13/02/2023,7.6
1038,13/02/2023,7.8
1039,13/02/2023,6.6
1040,13/02/2023,6.3
1041,13/02/2023,0
1042,13/02/2023,14
1043,13/02/2023,17.2
1044,13/02/2023,19.8
1045,13/02/2023,21.8
1046,13/02/2023,23.4
1047,13/02/2023,24
1048,13/02/2023,24.3
1049,13/02/2023,23.8
1050,13/02/2023,22.2
1051,13/02/2023,20.4
1052,13/02/2023,19
1053,13/02/2023,17.9
1054,13/02/2023,17.3
1055,13/02/2023,17.2
1056,13/02/2023,15.5
1057,14/02/2023,14.1
1058,14/02/2023,11.7
1059,14/02/2023,12.9
1060,14/02/2023,13.1
1061,14/02/2023,12.4
1062,14/02/2023,11.7
1063,14/02/2023,11.7
1064,14/02/2023,9.2
1065,14/02/2023,13.1
1066,14/02/2023,17.8
1067,14/02/2023,19.7
1068,14/02/2023,21.1
1069,14/02/2023,22.3
1070,14/02/2023,22.6
1071,14/02/2023,23
1072,14/02/2023,22.9
1073,14/02/2023,22.4
1074,14/02/2023,21.5
1075,14/02/2023,19.8
1076,14/02/2023,18.5
1077,14/02/2023,17.4
1078,14/02/2023,17
1079,14/02/2023,16
1080,14/02/2023,15.2
1081,15/02/2023,13.7
1082,15/02/2023,14.3
1083,15/02/2023,13.3
1084,15/02/2023,12.5
1085,15/02/2023,10.8
1086,15/02/2023,10.7
1087,15/02/2023,8.9
1088,15/02/2023,6.8
1089,15/02/2023,10.9
1090,15/02/2023,15
1091,15/02/2023,18.8
1092,15/02/2023,21.4
1093,15/02/2023,22.9
1094,15/02/2023,23.6
1095,15/02/2023,24.3
1096,15/02/2023,24.8
1097,15/02/2023,24.1
1098,15/02/2023,22.4
1099,15/02/2023,20.3
1100,15/02/2023,18.9
1101,15/02/2023,18
1102,15/02/2023,17.3
1103,15/02/2023,16.5
1104,15/02/2023,16.2
1105,16/02/2023,15.6
1106,16/02/2023,13.2
1107,16/02/2023,10.6
1108,16/02/2023,9.4
1109,16/02/2023,7.9
1110,16/02/2023,7
1111,16/02/2023,5.7
1112,16/02/2023,6.2
1113,16/02/2023,11.4
1114,16/02/2023,15.3
1115,16/02/2023,18.6
1116,16/02/2023,21.7
1117,16/02/2023,23.9
